,count
北京,20
上海,14
深圳,6
青岛,6
佛山,5
广州,5
淄博,5
吉林,4
嘉兴,4
鄂尔多斯,4
郑州,4
濮阳,4
唐山,4
成都,4
济南,3
攀枝花,3
张家口,2
乌兰察布,2
武汉,2
天津,2
漳州,2
潍坊,2
重庆,2
常州,2
杭州,2
新乡,2
保定,2
吕梁,2
克拉玛依,2
南京,2
绵阳,1
包头,1
烟台,1
焦作,1
盘锦,1
石家庄,1
福州,1
遂宁,1
苏州,1
赤峰,1
六安,1
酒泉,1
金华,1
长沙,1
长治,1
临沂,1
娄底,1
宁波,1
云浮,1
安阳,1
大连,1
商丘,1
呼和浩特,1
合肥,1
东莞,1
无锡,1
台州,1
湖州,1
毕节,1
沈阳,1
洛阳,1
厦门,1
海南,1
南通,1
中山,1
滨州,1
