,count
北京,20
山东,19
内蒙古,18
浙江,17
河南,16
上海,14
四川,12
广东,11
河北,9
宁夏,8
陕西,7
江苏,5
山西,5
内蒙,4
吉林,4
新疆,4
甘肃,4
湖北,3
贵州,3
安徽,3
辽宁,3
湖南,3
福建,3
重庆,2
广西,2
天津,2
江西,2
青海,2
海南,1
